ID	Kanton (Canton)	Anstalten, die vorwiegend dem Vollzug dienen (institutions, which are primary destined for executing juridic measures)	Anstalten, die nicht vorwiegend dem Vollzug dienen (institutions, which are not primary destined for executing juridic measures)	Code (Quelle) (encryption according to source)	Bezeichnung (institution)	Ortschaft (city)	Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4	Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4	Anstaltszweck (purpose of the institution according to source)	Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	1. Geschichtliches (historical facts according to source)	Trägerschaft (agencies, funding bodies)	Plätze (capacity according to source)	Bemerkung zu Plätzen (remarks concerning the capacity according to source)	Platzzahl (capacitiy): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7	5. Aufgaben (institution's purpose and tasks according to source)	6. Vollzugskonzept (methods and concept of conducting measures)	8. Arbeit, Tätigkeitsbereiche (forced labour, fields of work)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Bestände am 01.01.1980: Strafvollzug (headcount on 01.01.1980: execution of a prison sentence)	Anzahl Eingewiesene 1980: Strafvollzug (detainees per year 1980: execution of a prison sentence)	Anzahl Entlassene 1980: Strafvollzug (discharged detainees per year 1980: execution of a prison sentence)	Bestände am 31.12.1980: Strafvollzug (headcount on 31.12.1980: execution of a prison sentence)	Bestände am 01.01.1980: Massnahmenvollzug (headcount on 01.01.1980: juridic measures)	Anzahl Eingewiesene 1980: Massnahmenvollzug (detainees per year 1980: juridic measures)	Anzahl Entlassene 1980: Massnahmenvollzug (discharged detainees per year 1980: juridic measures)	Bestände am 31.12.1980: Massnahmenvollzug (headcount on 31.12.1980: juridic measures)	Bestände am 01.01.1980: Untersuchungshaft (headcount on 01.01.1980: imprisonment on remand)	Anzahl Eingewiesene 1980: Untersuchungshaft (detainees per year 1980: imprisonment on remand)	Anzahl Entlassene 1980: Untersuchungshaft (discharged detainees per year 1980: imprisonment on remand)	Bestände am 31.12.1980: Untersuchungshaft (headcount on 31.12.1980: imprisonment on remand)	Bestände am 01.01.1980: Sonstige (headcount on 01.01.1980: others)	Anzahl Eingewiesene 1980: Sonstige (detainees per year 1980: others)	Anzahl Entlassene 1980: Sonstige (discharged detainees per year 1980: others)	Bestände am 31.12.1980: Sonstige (headcount on 31.12.1980: others)	Bestände am 01.01.1980: Insassen insgesamt (headcount on 01.01.1980: detainees in total)	Anzahl Eingewiesene 1980: Insassen insgesamt (detainees per year 1980: detainees in total)	Anzahl Entlassene 1980: Insassen insgesamt (discharged detainees per year 1980: detainees in total)	Bestände am 31.12.1980: Insassen insgesamt (headcount on 31.12.1980: detainees in total)	Trunksüchtige: Anzahl (alcoolics: quantity of persons)	Rauschgiftsüchtige: Anzahl (drug abuse: quantity of persons)	Arbeitserziehung: Anzahl (forced labour: quantity of persons)	Heimerziehung: Anzahl (people in institutional care: quantity of persons)	Fürsorgerischer Freiheitsentzug ZGB: Anzahl (custodial imprisonment according to Swiss Civil Code)	Typ 1: Erstmalige (type 1: first time detainees)	Typ 2: Rückfällige (type 2: detainees relapsed back into crime)	Typ 3: Massnahmen (type 3: measures)	Typ 4: Arbeitserziehung (type 4: forced labour)	Typ 5: vornehmlich Untersuchungshaft (type 5: primary imprisonment on remand)	Typ 6: andere Vollzugsaufgaben (type 6: other executive measures)	Typ 7: nur Frauen (type 7: for women only)	Typ 8: Frauen und Männer (type 8: both gender)	Bemerkungen (remarks)	Quelle (source)
AG02	Aargau		1	AG-aar	Bezirksgefängnis Aarau	Aarau	3	3		5			1784 Spital, Kantonsschule, Seminar; 1936 Amtshaus und Bezirksgefängnis; 1977 Modernisierung des Gefängnisses	1	22	davon 18 in Einzelzellen	2	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Vollzug der Halbgefangenschaft bis 3 Monate; Untersuchungshaft			1	3	4	7	8	11																		789	782	7										1					BfJ 1980
AG06	Aargau		1	AG-bru	Bezirksgefängnis Brugg	Brugg	3	3		5			Mittelalterlicher Brückenkopf und Wachtturm seit 1238; 1846-1909 Sitz der städtischen Verwaltung; 1910-1977 Bezirksgefängnis, Kantonspolizeiposten; 1977 Vollständige Sanierung	1	6	davon 6 in Einzelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; tageweiser Vollzug bis zu 30 Tagen; Einschliessung nach Art. 95 StGB (in Einzelfällen); Halbgefangenschaft bis zu 3 Monaten; Halbfreiheit bis zu 3 Monaten; Untersuchungshaft			1	3	4	7	8	11																	1	131	130	2										1					BfJ 1980
AG08	Aargau		1	AG-bad	Bezirksgefängnis Baden	Baden	3	3		5			Ehemaliges Schulhaus	1	14	davon 10 in Einzelzellen, die übrigen in Doppelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 3 Monaten (Halbgefangenschaft) nach Art. 37bis, 39 StGB; Untersuchungshaft			1	3	4	7	8	11																		363	363											1					BfJ 1980
AG09	Aargau		1	AG-brg	Bezirksgefängnis Bremgarten	Bremgarten	3	3		5			Rathaus mit Gefängiszellen aus dem 18. Jahrhundert; 1974 Neubezug des renovierten Gefängnistraktes	1	8	alle in Doppelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Halbgefangenschaft und tageweiser Vollzug bis zu drei Monaten; Untersuchungshaft			1	3	4	7	8	11																	1	117	116	2										1					BfJ 1980
AG10	Aargau		1	AG-lfb	Bezirksgefängnis Laufenburg	Laufenburg	3	3		5			Mehrzweckgebäude aus dem Jahre 1980; Gefängnistrakt im Dachgeschoss	1	8	davon 1 in Einzelzelle	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Halbgefangenschaft bis zu 3 Monaten; Untersuchungshaft, Sicherheitshaft			1	3	4	7	8	11																		54	54											1					BfJ 1980
AG11	Aargau		1	AG-lbg	Bezirksgefängnis Lenzburg	Lenzburg	3	3		5			1938-1939 Naubau des Amtshauses mit Gefängnistrakt	1	12	davon 8 in Einzelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Halbgefangenschaft bis zu 3 Monaten; Untersuchungshaft, Polizeiarrest; Administrativer Freiheitsentzug			1	3	4	7	8	11																		223	220											1					BfJ 1980
AG12	Aargau		1	AG-mur	Bezirksgefängnis Muri	Muri	3	3		5			Gerichtsgebäude aus dem 19. Jahrhundert; 1975 Modernisierung von 5 Einzelzellen des Gefängnistraktes	1	7	davon 3 Einzelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Halbgefangenschaft bis zu 3 Monaten; Untersuchungshaft, Polizeiarrest; Vollzug Art. 86-88 MStG			1	3	4	7	8	11																	3	63	65	1										1					BfJ 1980
AG13	Aargau		1	AG-rhe	Bezirksgefängnis Rheinfelden	Rheinfelden	3	3		5			1531-1533 Bau des Rathauses mit Bezirksgefängnis; 1967 Modernisierung des Gefängnistraktes; 1980 Vollständige Renovation nach neuesten feuerpolizeilichen und sicherheitstechnischen Erkenntnissen	1	7	davon 7 in Einzelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Halbgefangenschaft bis zu 3 Monaten; Untersuchungshaft			1	3	4	7	8	11																		130	128	2										1					BfJ 1980
AG15	Aargau		1	AG-zof	Bezirksgefängnis Zofingen	Zofingen	3	3		5			1875 Erstellung des früheren Gefängnisses; 1979 Bezug des neuen Bezirksgebäudes mit Gefängistrakt im Dachgeschoss	1	11	davon 7 in Einzelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Halbgefangenschaft bis zu 3 Monaten; Untersuchungshaft			1	3	4	7	8	11																	2	208	209	1										1					BfJ 1980
AG16	Aargau		1	AG-zuz	Bezirksgefängnis Zurzach	Zurzach	3	3		5			1967 Bezug des modernisierten Gefängistraktes im Rathaus	1	12	davon 8 in Einzelzellen	1	Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen nach Art. 36, 37bis, 39 StGB; Halbgefangenschaft bis zu 3 Monaten; Einschliessung nach Art. 95; Untersuchungshaft; Sicherheitshaft §67 StPO			1	3	4	7	8	11																	1	63	63	1										1					BfJ 1980
